id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error
76,"2,2,3-Trimethyl-C9",Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,18,2396937,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
77,2-Ethyl-C9,Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,15,2396873,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
78,3-Ethyl-C9,Branched alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,15,2396873,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
79,2-Methyl-C10,Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,12,2659017,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
80,3-Methyl-C10,Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,12,2659017,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
81,"2,2-Dimethyl-C10",Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,15,2659017,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
82,"2,3-Dimethyl-C10",Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,16,2659081,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
83,"2,4-Dimethyl-C10",Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,17,2659081,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
84,"2,2,3-Trimethyl-C10",Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,19,2659081,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
85,2-Ethyl-C10,Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,16,2659081,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
