TP53,PTEN,RB1,NKX3-1,AR,ERG,MYC,PIK3CA,AKT1,BRCA2,CDKN1B,FOXA1,SPOP,CHD1,APC,ATM,CDK12,KMT2C,KMT2D,MED12,NCOR1,NF1,NOTCH1,ZBTB16
0.015,0.0,0.124,0.006,0.999,0.999,0.0,0.961,0.02,0.998,0.999,0.0,1.0,0.0,1.0,0.014,1.0,0.0,0.054,0.0,0.0,0.002,0.005,0.0
0.009,0.0,0.136,0.008,0.998,0.998,0.0,0.969,0.014,0.999,0.999,0.0,1.0,0.0,1.0,0.01,1.0,0.0,0.051,0.002,0.0,0.004,0.004,0.0
0.007,0.0,0.12,0.007,0.999,0.999,0.0,0.96,0.016,1.0,1.0,0.0,1.0,0.0,1.0,0.01,1.0,0.0,0.044,0.0,0.0,0.002,0.008,0.0
0.008,0.0,0.122,0.01,1.0,0.999,0.0,0.956,0.017,1.0,1.0,0.0,1.0,0.001,1.0,0.007,1.0,0.0,0.035,0.0,0.0,0.002,0.011,0.0
0.006,0.0,0.134,0.016,1.0,0.999,0.0,0.963,0.012,1.0,1.0,0.0,1.0,0.001,0.999,0.005,1.0,0.0,0.036,0.0,0.001,0.003,0.011,0.0
0.006,0.0,0.151,0.015,0.999,0.999,0.0,0.966,0.01,1.0,1.0,0.0,1.0,0.001,0.997,0.003,1.0,0.0,0.029,0.0,0.001,0.001,0.014,0.0
0.002,0.0,0.136,0.019,0.998,0.997,0.0,0.97,0.005,1.0,1.0,0.0,1.0,0.006,0.997,0.001,1.0,0.0,0.03,0.0,0.001,0.001,0.019,0.0
0.006,0.0,0.123,0.023,0.999,0.997,0.0,0.98,0.011,1.0,1.0,0.0,0.999,0.007,0.998,0.0,1.0,0.0,0.032,0.0,0.001,0.001,0.022,0.0
0.002,0.0,0.113,0.017,0.999,0.996,0.0,0.98,0.004,1.0,0.999,0.0,0.999,0.01,0.996,0.0,1.0,0.0,0.039,0.0,0.004,0.0,0.02,0.0
0.003,0.0,0.114,0.025,0.999,0.997,0.001,0.972,0.005,1.0,0.998,0.0,0.999,0.011,0.997,0.0,1.0,0.0,0.048,0.0,0.005,0.0,0.019,0.001
0.004,0.001,0.135,0.033,1.0,0.997,0.005,0.972,0.006,1.0,0.998,0.0,1.0,0.015,0.998,0.0,1.0,0.0,0.045,0.0,0.006,0.0,0.015,0.003
0.005,0.001,0.126,0.025,1.0,0.999,0.005,0.976,0.008,1.0,0.998,0.001,1.0,0.009,1.0,0.0,1.0,0.0,0.041,0.0,0.006,0.0,0.017,0.003
0.004,0.003,0.153,0.024,1.0,0.999,0.005,0.977,0.009,1.0,0.999,0.002,1.0,0.006,1.0,0.0,1.0,0.0,0.036,0.0,0.005,0.001,0.014,0.002
0.001,0.003,0.162,0.029,1.0,1.0,0.009,0.978,0.008,0.999,1.0,0.002,1.0,0.004,1.0,0.0,1.0,0.0,0.031,0.0,0.005,0.002,0.017,0.001
0.002,0.003,0.176,0.03,1.0,1.0,0.006,0.978,0.008,0.999,1.0,0.003,1.0,0.007,1.0,0.0,1.0,0.0,0.029,0.0,0.003,0.0,0.02,0.001
