M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2
7220809018385456.0,3.630371552732758e-15,1.0724577008645564e-11,1.0724577008645564e-14,4.190166092388962e+27,16991180.1775966,1.3832173917161909e+48,3.1668674332631856e+31,1.0035197332063229e+24,6.8308716596706684,1.4453406193982803e-21
1.1497569953977404e+16,5.780578156851385e-15,1.7076559436727903e-11,1.7076559436727902e-14,2.631546424989433e+27,10670956.345602317,3.506960262399214e+48,1.278469848377105e+32,4.051226482296198e+24,2.694236539131373,3.664465288115206e-21
1.8307382802953696e+16,9.204315134717796e-15,2.7190711760568206e-11,2.7190711760568207e-14,1.6526878491650713e+27,6701671.581347336,8.891422531051014e+48,5.161204842493642e+32,1.6354871227513e+25,1.0626624083200367,9.290755180873189e-21
2.9150530628251696e+16,1.4655872613500098e-14,4.32953024750499e-11,4.32953024750499e-14,1.037936135513489e+27,4208845.067831962,2.2542996986112468e+49,2.0835873024298753e+33,6.602489740759358e+25,0.41913595100325274,2.3555450807754603e-20
4.641588833612791e+16,2.3336293783875273e-14,6.893836516352031e-11,6.89383651635203e-14,6.518541429035848e+26,2643277.3659511246,5.715471414626537e+49,8.411477899702173e+33,2.6654365033152624e+26,0.1653158557675177,5.972165361744121e-20
7.390722033525776e+16,3.7157979052417176e-14,1.0976937265093806e-10,1.0976937265093806e-13,4.093833995001597e+26,1660055.2219777082,1.4490803290945165e+50,3.395728145140087e+34,1.0760413165576872e+27,0.06520398000393687,1.5141616010284127e-19
1.1768119524350038e+17,5.91660106804929e-14,1.747838833079358e-10,1.747838833079358e-13,2.5710470603098535e+26,1042563.060355881,3.6739468152967978e+50,1.3708613127432797e+35,4.3439973659064054e+27,0.025717793303097706,3.8389515613804135e-19
1.873817422860387e+17,9.420902075718386e-14,2.7830536994456266e-10,2.7830536994456266e-13,1.6146924849417136e+26,654759.9865525587,9.31479430823801e+50,5.534190778686899e+35,1.7536792337461973e+28,0.010143627618144371,9.73314148279496e-19
2.9836472402833344e+17,1.5000740272917721e-13,4.4314085185715297e-10,4.4314085185715296e-13,1.0140739394373558e+26,411208.35400015576,2.3616398757741396e+51,2.2341623685924705e+36,7.079633332675712e+28,0.004000855751616443,2.4677061330265795e-18
4.750810162102774e+17,2.388542062394557e-13,7.056055534386565e-10,7.056055534386566e-13,6.368679883235592e+25,258250.83064379363,5.987617888581701e+51,9.019352040514675e+36,2.8580601948547024e+29,0.0015780199498461674,6.256534511227836e-18
7.56463327554629e+17,3.803234427122318e-13,1.123523581626297e-09,1.123523581626297e-12,3.9997165766466255e+25,162189.0481538796,1.5180793798170487e+52,3.6411279848916336e+37,1.1538038332736437e+30,0.0006224035848096697,1.5862595455065862e-17
1.2045035402587886e+18,6.055824737349365e-13,1.7889672669365181e-09,1.788967266936518e-12,2.511938578607627e+25,101859.44910800482,3.8488845586163523e+52,1.4699296515766649e+38,4.6579259879606335e+30,0.0002454887990621992,4.0217461298986066e-17
1.9179102616724925e+18,9.642585528770702e-13,2.8485417969934494e-09,2.8485417969934494e-12,1.5775706357642826e+25,63970.702650295636,9.758325251305662e+52,5.934131372337758e+38,1.88041276026623e+31,9.682584087852056e-05,1.0196592341506571e-16
3.0538555088334126e+18,1.535372302078136e-12,4.535684089465571e-09,4.535684089465571e-12,9.907603362679476e+24,40175.46563827766,2.4740911362772193e+53,2.3956190764906572e+39,7.591258766479888e+31,3.819010683032093e-05,2.5852078182143163e-16
