M_kg,Q_C,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Phi_H,q_frac
1.6681005372000557e+17,7906186.789325508,2.273325251952414e-10,2.0419113489769703e-11,1.452413776575512e+36,5889557508243815.0,6.215173388157988e+50,0.299700628319085,0.55
1.6681005372000557e+17,9487424.14719061,2.1693946094261367e-10,3.081217774239741e-11,1.4346890876627717e+36,5817683654972163.0,5.659879826167086e+50,0.3768703047883062,0.66
1.6681005372000557e+17,11068661.50505571,2.0291402845238508e-10,4.4837610232626014e-11,1.3927328235310303e+36,5647550436449837.0,4.9516990625527126e+50,0.47007287579484314,0.77
1.6681005372000557e+17,12649898.862920811,1.827135735499063e-10,6.503806513510477e-11,1.2787019576961052e+36,5185153733195548.0,4.0148721505268085e+50,0.5966208142255492,0.88
1.6681005372000557e+17,14231136.220785914,1.4135065411980066e-10,1.0640098456521042e-10,6.345594248401475e+35,2573147050288850.5,2.4028449180637932e+50,0.8676087274781226,0.99
2.154434690031878e+18,0.0,3.1998354595051434e-09,0.0,8.777808709762092e+33,35594133039965.35,1.2313609885556883e+53,0.0,0.0
2.154434690031878e+18,20422465.7985969,3.190126498247673e-09,9.708961257470537e-12,8.777727405026942e+33,35593803348164.65,1.2238999181626183e+53,0.05516738924599202,0.11
2.154434690031878e+18,40844931.5971938,3.1606372701136687e-09,3.919818939147448e-11,8.776458600824827e+33,35588658329964.21,1.2013772695914132e+53,0.11136421881556409,0.22
2.154434690031878e+18,61267397.3957907,3.1102095594250258e-09,8.962590008011778e-11,8.770519610426176e+33,35564575643571.47,1.1633473381736918e+53,0.16975475148238992,0.33
2.154434690031878e+18,81689863.1943876,3.0366402877748046e-09,1.631951717303386e-10,8.752456604796576e+33,35491329911437.14,1.108962335065507e+53,0.23182324357785014,0.44
2.154434690031878e+18,102112328.9929845,2.936112467629014e-09,2.6372299187612925e-10,8.706991840032743e+33,35306969675398.41,1.0367534067577831e+53,0.29970062831908495,0.55
2.154434690031878e+18,122534794.7915814,2.8018808810894197e-09,3.979545784157239e-10,8.600735121582838e+33,34876097244937.504,9.441248578517076e+52,0.37687030478830613,0.66
2.154434690031878e+18,142957260.5901783,2.6207354547449834e-09,5.791000047601599e-10,8.349213926090832e+33,33856175395335.445,8.259931866297193e+52,0.4700728757948431,0.77
2.154434690031878e+18,163379726.3887752,2.3598365471205364e-09,8.399989123846067e-10,7.665616844908131e+33,31084179985331.97,6.697210391083313e+52,0.5966208142255491,0.88
2.154434690031878e+18,183802192.18737212,1.8256138997806305e-09,1.3742215597245128e-09,3.804083810831142e+33,15425611304028.055,4.0081868986306366e+52,0.8676087274781228,0.99
2.7825594022071144e+19,0.0,4.1327464158266113e-08,0.0,5.262158073814808e+31,213381221612.16318,2.0540339264969353e+55,0.0,0.0
2.7825594022071144e+19,263766288.60955727,4.120206810166883e-08,1.2539605659728566e-10,5.262109332906608e+31,213379245161.74332,2.041588110966168e+55,0.05516738924599203,0.11
2.7825594022071144e+19,527532577.21911454,4.082120007448862e-08,5.062640837774872e-10,5.261348704770703e+31,213348401587.95566,2.0040180687853723e+55,0.1113642188155641,0.22
2.7825594022071144e+19,791298865.8286718,4.016990114601478e-08,1.1575630122513315e-09,5.257788373563917e+31,213204029675.9775,1.94058031975779e+55,0.16975475148238992,0.33
2.7825594022071144e+19,1055065154.4382291,3.9219717464462465e-08,2.1077466938036513e-09,5.246959886175548e+31,212764933047.80136,1.8498606668574012e+55,0.23182324357785014,0.44
2.7825594022071144e+19,1318831443.0477865,3.7921350740122737e-08,3.406113418143377e-09,5.219704475755175e+31,211659722468.89832,1.729408914756646e+55,0.29970062831908495,0.55
2.7825594022071144e+19,1582597731.6573436,3.618768313382644e-08,5.139781024439671e-09,5.156005246553881e+31,209076710109.31873,1.5748951825663598e+55,0.3768703047883062,0.66
2.7825594022071144e+19,1846364020.2669013,3.38480999866851e-08,7.479364171581018e-09,5.005222251235033e+31,202962439255.3928,1.3778396783406205e+55,0.47007287579484314,0.77
2.7825594022071144e+19,2110130308.8764582,3.047846101923406e-08,1.084900313903205e-08,4.595416567502004e+31,186344763352.85797,1.117162025110787e+55,0.5966208142255492,0.88
2.7825594022071144e+19,2373896597.4860153,2.357871020708189e-08,1.7748753951184224e-08,2.2804883314865427e+31,92474110283.06703,6.686058718804e+54,0.867608727478122,0.99
3.5938136638046405e+20,0.0,5.337647248952361e-07,0.0,3.154580887940586e+29,1279186816.7030554,3.4263350962167345e+57,0.0,0.0
3.5938136638046405e+20,3406672616.958954,5.32145172546312e-07,1.6195523489241583e-09,3.154551668533775e+29,1279174968.1940737,3.405574224643968e+57,0.05516738924599203,0.11
3.5938136638046405e+20,6813345233.917908,5.272260728171173e-07,6.538652078118869e-09,3.1540956839459495e+29,1278990065.8269808,3.3429036170995534e+57,0.11136421881556409,0.22
3.5938136638046405e+20,10220017850.876862,5.188142236881677e-07,1.4950501207068403e-08,3.1519613214615626e+29,1278124578.9527876,3.2370830738678795e+57,0.16975475148238992,0.33
3.5938136638046405e+20,13626690467.835815,5.065421295320525e-07,2.722259536318358e-08,3.1454698138174582e+29,1275492263.82319,3.0857535721301343e+57,0.2318232435778502,0.44
3.5938136638046405e+20,17033363084.79477,4.89773078453178e-07,4.399164644205808e-08,3.129130624534465e+29,1268866700.4698071,2.884827939744174e+57,0.29970062831908495,0.55
3.5938136638046405e+20,20440035701.753723,4.673819002915865e-07,6.638282460364961e-08,3.0909439398708347e+29,1253381948.1903367,2.6270835000727686e+57,0.3768703047883062,0.66
3.5938136638046405e+20,23846708318.712677,4.371650219919376e-07,9.659970290329855e-08,3.0005519089612716e+29,1216727857.3992097,2.2983751076155805e+57,0.470072875794843,0.77
3.5938136638046405e+20,27253380935.67163,3.936444611956124e-07,1.401202636996237e-07,2.75487985587214e+29,1117107507.5944688,1.8635385742268364e+57,0.5966208142255492,0.88
3.5938136638046405e+20,30660053552.630585,3.0453075269439847e-07,2.2923397220083766e-07,1.3671168377622781e+29,554367726.7695452,1.1153018140588245e+57,0.8676087274781225,0.99
4.641588833612792e+21,0.0,6.893836516352033e-06,0.0,1.8911215586775244e+27,7668523.49829105,5.715471414626541e+59,0.0,0.0
4.641588833612792e+21,43998868772.487114,6.872919193414763e-06,2.0917322937270363e-08,1.8911040421033377e+27,7668452.468345807,5.680840193603267e+59,0.05516738924599203,0.11
4.641588833612792e+21,87997737544.97423,6.8093865773406e-06,8.444993901143281e-08,1.8908306865245483e+27,7667344.007776619,5.5762993194917755e+59,0.11136421881556409,0.22
