M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2,R_g,kappa_UBP_ms2,T_UBP_K,N_OffBits,delta_T,abs_residual_K
1.2328467394420634e+19,6.1983244818605495e-12,1.8310634948714283e-08,1.8310634948714283e-11,2.4541890034237325e+24,9951.769602353515,4.0321520942753235e+54,1.576157384046677e+41,4.9945413594401255e+33,2.343309542725929e-06,4.213244599402585e-15,8.111308307896888e-20,2.4541890034237325e+24,9951.769602353515,6.19832448186055e-12,0.0,0.0
1.963040650040277e+19,9.869485420011448e-12,2.9155708963987964e-08,2.915570896398796e-11,1.5413022194845723e+24,6250.001346476673,1.0222975254112992e+55,6.362974561660931e+41,2.0163049666834395e+34,9.2424956975576e-07,1.0682110761736752e-14,5.0941380148163646e-20,1.5413022194845723e+24,6250.001346476673,9.869485420011448e-12,0.0,0.0
3.1257158496882352e+19,1.5715011813414958e-11,4.6424133711018526e-08,4.6424133711018516e-11,9.67982713830913e+23,3925.1829967730127,2.5918968482012993e+55,2.5687438121435776e+42,8.139857949094917e+34,3.645430753463337e-07,2.7083044345963202e-14,3.199267137797385e-20,9.67982713830913e+23,3925.182996773013,1.5715011813414958e-11,1.1585379618232395e-16,4.547473508864641e-13
4.977023564332093e+19,2.502274290765256e-11,7.392034930382071e-08,7.39203493038207e-11,6.079213553515797e+23,2465.1293182266954,6.571403240962573e+55,1.0370063102536632e+43,3.286074702302023e+35,1.4378330067070566e-07,6.86653890233727e-14,2.0092330025650544e-20,6.079213553515797e+23,2465.129318226696,2.5022742907652553e-11,1.8447200620435976e-16,4.547473508864641e-13
7.924828983539186e+19,3.984328297405323e-11,1.1770210027423753e-07,1.177021002742375e-10,3.817923285322785e+23,1548.1730560273743,1.66609024526968e+56,4.186412371767636e+43,1.3265940286231004e+36,5.6711096575133765e-08,1.7409178929450598e-13,1.2618568830660184e-20,3.817923285322785e+23,1548.173056027374,3.984328297405323e-11,1.468658006661574e-16,2.2737367544323206e-13
1.2618568830660184e+20,6.344177390980485e-11,1.874150290067757e-07,1.8741502900677567e-10,2.397767093439248e+23,972.297799424713,4.224146051606673e+56,1.6900618996427915e+44,5.355482988702536e+36,2.236802507489981e-08,4.413861412690136e-13,7.924828983539187e-21,2.3977670934392484e+23,972.2977994247133,6.344177390980485e-11,2.338518873309844e-16,2.2737367544323206e-13
2.009233002565054e+20,1.0101724497561859e-10,2.9841772590101213e-07,2.9841772590101216e-10,1.5058676156438225e+23,610.631354864127,1.0709749916587708e+57,6.8228090569545304e+44,2.1620177253512725e+37,8.822410003807237e-09,1.1190747507039441e-12,4.977023564332094e-21,1.5058676156438225e+23,610.6313548641272,1.010172449756186e-10,1.8617916819373407e-16,1.1368683772161603e-13
3.1992671377973844e+20,1.6084802100539889e-10,4.751654101801586e-07,4.751654101801584e-10,9.457287499063278e+22,383.4942872068844,2.715311967781568e+57,2.754379791503407e+45,8.728102870634671e+37,3.479740299586011e-09,2.837262389033217e-12,3.1257158496882354e-21,9.457287499063278e+22,383.49428720688445,1.608480210053989e-10,1.482249429967195e-16,5.684341886080802e-14
5.094138014816365e+20,2.5611553618986245e-10,7.565977066207263e-07,7.565977066207263e-10,5.939452174333336e+22,240.84558899377305,6.884305553165456e+57,1.111947875502873e+46,3.5235501923557965e+38,1.372481277489663e-09,7.193494321231585e-12,1.9630406500402768e-21,5.939452174333336e+22,240.84558899377308,2.561155361898625e-10,1.1800801313881999e-16,2.842170943040401e-14
8.111308307896823e+20,4.0780836138244457e-10,1.2047175097335106e-06,1.2047175097335106e-09,3.730149065964961e+22,151.25804913611276,1.7454223865136866e+58,4.488952764064829e+46,1.4224632938071428e+39,5.413348971139496e-10,1.823813008962608e-11,1.2328467394420737e-21,3.7301490659649613e+22,151.25804913611276,4.078083613824446e-10,0.0,0.0
