M_kg,a_dimensionless,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Omega_H
3.5938136638046405e+20,0.77,4.371650219919376e-07,9.659970290329855e-08,2.4575178540066763e+29,996526813.6490821,2.8062436272523054e+57,880674.3006239423
3.5938136638046405e+20,0.88,3.936444611956124e-07,1.401202636996237e-07,2.0316876442823803e+29,823852087.6607352,2.5268770488543964e+57,1117759.9163051664
3.5938136638046405e+20,0.99,3.0453075269439847e-07,2.2923397220083766e-07,7.799862002994798e+28,316285459.1707002,1.9548395710093296e+57,1625451.6025734206
4.641588833612792e+21,0.0,6.893836516352033e-06,0.0,1.8911215586775244e+27,7668523.49829105,5.715471414626541e+59,0.0
4.641588833612792e+21,0.11,6.872919193414763e-06,2.0917322937270363e-08,1.8853660420995912e+27,7645184.800722846,5.698129494632513e+59,8002.422035268193
4.641588833612792e+21,0.22,6.8093865773406e-06,8.444993901143281e-08,1.8676678894696452e+27,7573418.552436833,5.645456523608757e+59,16154.171708512458
4.641588833612792e+21,0.33,6.700743368094094e-06,1.9309314825793808e-07,1.836625722104789e+27,7447542.143919894,5.555383723743424e+59,24624.133612645925
4.641588833612792e+21,0.44,6.542243177130479e-06,3.515933392215544e-07,1.7894888731158515e+27,7256401.583733037,5.423976007805195e+59,33627.60968119426
4.641588833612792e+21,0.55,6.3256625540951e-06,5.681739622569327e-07,1.7212601378516984e+27,6979733.1394275725,5.244415561748122e+59,43473.70692765943
4.641588833612792e+21,0.66,6.036469367556179e-06,8.573671487958542e-07,1.62252324398979e+27,6579353.699378353,5.004654234793619e+59,54667.71715493656
4.641588833612792e+21,0.77,5.646203377099108e-06,1.2476331392529246e-06,1.4732432483546074e+27,5974021.29803144,4.681096502133803e+59,68187.41272437203
4.641588833612792e+21,0.88,5.084113719921572e-06,1.8097227964304606e-06,1.2179647443148799e+27,4938863.511449911,4.215084962632511e+59,86544.09091517872
4.641588833612792e+21,0.99,3.933165916291805e-06,2.9606706000602274e-06,4.675894425456544e+26,1896081.513777298,3.26086893854059e+59,125852.81438284373
5.994842503189421e+22,0.0,8.903732243361833e-05,0.0,1.1336975898657853e+25,45971.590604262026,9.53398093709009e+61,0.0
5.994842503189421e+22,0.11,8.876716481929193e-05,2.701576143263984e-07,1.1302472483248648e+25,45831.67878811108,9.505052871031974e+61,619.5984755395359
5.994842503189421e+22,0.22,8.794660952921089e-05,1.0907129044074413e-06,1.119637484563471e+25,45401.451432591624,9.417189059771324e+61,1250.7588477696145
