Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
23,V,ELEM_V_023,0.600344,6.657105164854324,8,39.1069,2,0,0,0.24149432057282788,50.942,2.0,650.9,49,26,430.73034198760035,8.79041514260409,8.79041514260409,inf,stable,True,100.0,0.061224489795918366,98.31537141447019,False,False,0,0,0.5635882448979592,4.41886604936092,0.22630240175409377,PHASE_LOCK
24,Cr,ELEM_Cr_024,0.613042,6.312105164854323,8,54.4316,2,0,0,0.24149432057282788,51.996,1.0,652.9,51,27,448.4416190897694,8.792972923328811,8.792972923328811,inf,stable,True,100.0,0.058823529411764705,105.8323938753358,False,False,0,0,0.576980705882353,4.953203595859539,0.20188954090962782,PHASE_LOCK
25,Mn,ELEM_Mn_025,0.613042,6.312105164854323,8,29.8755,2,0,0,0.24149432057282788,54.938,2.0,717.3,53,28,466.00348576813377,8.79251859939875,8.79251859939875,inf,stable,True,100.0,0.05660377358490566,113.56963445089724,False,True,1,0,0.6147138619469326,5.14744687412854,0.1942710676677551,PHASE_LOCK
26,Fe,ELEM_Fe_026,0.600344,6.657105164854324,8,39.1069,0,0,0,0.24149432057282788,55.845,2.0,762.5,55,29,483.4162527705518,8.789386414010034,8.79,inf,stable,True,100.0,0.05454545454545454,121.5240013564284,False,False,0,0,0.5675979636363636,4.959951688058175,0.2016148670172835,PHASE_LOCK
27,Co,ELEM_Co_027,0.617242,6.201105164854323,8,58.3736,0,0,0,0.24149432057282788,58.933,2.0,760.4,58,31,509.8415682273981,8.790371865989624,8.790371865989624,inf,stable,True,100.0,0.06896551724137931,128.9428846068962,False,False,0,0,0.5746735862068965,5.773170273405775,0.17321505388582076,PHASE_LOCK
28,Ni,ELEM_Ni_028,0.591817,6.897105164854323,12,45.5026,2,0,0,0.24149432057282788,58.693,2.0,737.1,60,32,530.015980240764,8.8335996706794,8.732,inf,stable,True,100.0,0.06666666666666667,137.30119362081768,True,False,1,0,0.5871010476015219,5.148394746964831,0.1942353003505679,UNSTABLE
29,Cu,ELEM_Cu_029,0.591817,6.897105164854323,8,58.3736,2,0,0,0.24149432057282788,63.546,1.0,745.5,62,33,544.2601101564225,8.778388873490686,8.778388873490686,inf,stable,True,100.0,0.06451612903225806,145.86857269863913,False,False,0,0,0.5536352580645162,5.320007905196992,0.18796964550054956,UNSTABLE
30,Zn,ELEM_Zn_030,0.600344,6.657105164854324,12,112.9669,2,0,0,0.24149432057282788,65.38,2.0,906.4,64,34,564.0300000000001,8.812968750000001,8.812968750000001,inf,stable,True,100.0,0.0625,154.6425,False,False,0,0,0.5628225,5.771580146104059,0.17326277634297804,PHASE_LOCK
31,Ga,ELEM_Ga_031,0.570382,7.532105164854324,8,39.1069,0,0,0,0.3232142749901492,69.723,3.0,578.8,67,36,589.9723829684121,8.80555795475242,8.80555795475242,inf,stable,True,100.0,0.07462686567164178,162.80245454373477,False,False,0,0,0.5278161791044775,5.073693630609195,0.19709506974703375,UNSTABLE
32,Ge,ELEM_Ge_032,0.591817,6.897105164854323,8,86.6654,0,0,0,0.24149432057282788,72.63,4.0,762.2,69,37,606.7547976670529,8.79354779227613,8.79354779227613,inf,stable,True,100.0,0.07246376811594203,171.96163906383552,False,False,0,0,0.5489317101449276,5.920653959009556,0.16890026117440687,UNSTABLE
33,As,ELEM_As_033,0.625582,5.985105164854323,12,39.6298,2,0,0,0.3232142749901492,74.922,5.0,947.0,71,38,623.3788079482778,8.779983210539124,8.779983210539124,inf,stable,True,100.0,0.07042253521126761,181.32070654513802,False,False,0,0,0.5815269295774648,7.42114311722058,0.13475013002774797,PHASE_LOCK
34,Se,ELEM_Se_034,0.621423,6.092105164854323,8,37.3489,2,0,0,0.24149432057282788,78.971,6.0,941.0,73,39,639.8456230587468,8.765008535051326,8.765008535051326,inf,stable,True,100.0,0.0684931506849315,190.87754367741712,False,False,0,0,0.5788597808219177,7.446338789702222,0.13429418513470429,PHASE_LOCK
35,Br,ELEM_Br_035,0.600344,6.657105164854324,12,34.5376,2,0,0,0.24149432057282788,79.904,7.0,1139.9,76,41,665.3737855522565,8.754918230950745,8.754918230950745,inf,stable,True,100.0,0.07894736842105263,199.74627912857994,False,False,0,0,0.5529484210526315,6.8537514234985695,0.145905495867771,PHASE_LOCK
36,Kr,ELEM_Kr_036,0.583257,7.145105164854323,8,23.1164,2,0,0,0.19275824583266318,83.798,8.0,1350.8,78,42,684.2047992180994,8.771856400232044,8.771856400232044,inf,stable,True,100.0,0.07692307692307693,209.672727624476,False,False,0,0,0.538391076923077,6.367162546994862,0.15705583022565903,UNSTABLE
