Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
65,Tb,ELEM_Tb_065,0.613042,6.312105164854323,12,43.4556,2,0,0,0.24149432057282788,158.93,2.0,565.8,146,81,1201.7693121392056,8.23129665848771,8.23129665848771,inf,stable,True,100.0,0.1095890410958904,561.7097721494891,False,False,0,0,0.5458593150684932,14.17975931363711,0.07052305881089739,PHASE_LOCK
66,Dy,ELEM_Dy_066,0.64599,5.480105164854323,8,37.3489,2,0,0,0.24149432057282788,162.5,2.0,573.0,148,82,1216.245859937447,8.217877432009777,8.217877432009777,inf,stable,True,100.0,0.10810810810810811,576.6420662058547,False,True,1,0,0.6123879739739574,17.446110452980967,0.05731936655423002,PHASE_LOCK
67,Ho,ELEM_Ho_067,0.613042,6.312105164854323,8,29.8755,2,0,0,0.24149432057282788,164.93,2.0,581.0,151,84,1237.7240247657498,8.196847846130794,8.196847846130794,inf,stable,True,100.0,0.11258278145695365,590.4222152101609,False,False,0,0,0.5440240264900662,14.665367509309617,0.06818785818801999,PHASE_LOCK
68,Er,ELEM_Er_068,0.613042,6.312105164854323,8,23.1164,2,0,0,0.24149432057282788,167.26,2.0,589.3,153,85,1250.1404964501091,8.17085291797457,8.17085291797457,inf,stable,True,100.0,0.1111111111111111,605.6515586187935,False,False,0,0,0.5449262222222222,14.859610787578617,0.06729651363654261,PHASE_LOCK
69,Tm,ELEM_Tm_069,0.608824,6.425105164854323,8,37.3489,2,0,0,0.24149432057282788,168.93,2.0,596.7,155,86,1262.405529595448,8.1445518038416,8.1445518038416,inf,stable,True,100.0,0.10967741935483871,621.0363749114753,False,False,0,0,0.5420497548387098,14.687342475917218,0.06808583660656761,PHASE_LOCK
70,Yb,ELEM_Yb_070,0.617242,6.201105164854323,8,37.3489,0,0,0,0.3232142749901492,173.05,2.0,603.4,158,88,1285.334171797477,8.1350264037815,8.1350264037815,inf,stable,True,100.0,0.11392405063291139,635.2300519333968,False,False,0,0,0.5469232911392405,15.726912124105386,0.06358527294542789,PHASE_LOCK
71,Lu,ELEM_Lu_071,0.608824,6.425105164854323,12,34.5376,2,0,0,0.24149432057282788,174.97,2.0,523.5,160,89,1295.609978697563,8.09756236685977,8.09756236685977,inf,stable,True,100.0,0.1125,650.9075792900287,False,False,0,0,0.5403313,15.161127717075837,0.06595815421261238,PHASE_LOCK
72,Hf,ELEM_Hf_072,0.608824,6.425105164854323,8,58.3736,2,0,0,0.24149432057282788,178.49,2.0,658.5,163,91,1318.245618120139,8.087396430184901,8.087396430184901,inf,stable,True,100.0,0.1165644171779141,665.3720868504398,False,False,0,0,0.5378567852760736,15.44539886177101,0.06474420045409804,PHASE_LOCK
73,Ta,ELEM_Ta_073,0.637914,5.676105164854324,8,23.1164,2,0,0,0.3232142749901492,180.95,2.0,761.0,165,92,1330.0784230196302,8.061081351634122,8.061081351634122,inf,stable,True,100.0,0.11515151515151516,681.3396177742242,False,False,0,0,0.5644572363636363,18.543668051066028,0.05392676342383688,PHASE_LOCK
74,W,ELEM_W_074,0.64599,5.480105164854323,8,54.4316,2,0,0,0.19275824583266318,183.84,2.0,770.0,168,94,1352.411196560123,8.050066646191208,8.050066646191208,inf,stable,True,100.0,0.11904761904761904,696.0724098329524,False,False,0,0,0.5690864285714285,19.803692946627045,0.050495632440631204,PHASE_LOCK
75,Re,ELEM_Re_075,0.625582,5.985105164854323,12,67.0331,0,0,0,0.24149432057282788,186.21,2.0,760.0,170,95,1362.3074106646463,8.013573003909684,8.013573003909684,inf,stable,True,100.0,0.11764705882352941,712.327334486493,False,False,0,0,0.5519841176470588,17.768934224330966,0.056277995482177094,PHASE_LOCK
76,Os,ELEM_Os_076,0.617242,6.201105164854323,8,72.5198,2,0,0,0.24149432057282788,190.23,2.0,840.0,172,96,1375.4844199737688,7.997002441707958,7.997002441707958,inf,stable,True,100.0,0.11627906976744186,728.7327832717524,False,False,0,0,0.5454696744186046,17.120435983203336,0.05840972747312561,PHASE_LOCK
77,Ir,ELEM_Ir_077,0.629719,5.880105164854323,8,58.3736,0,0,0,0.24149432057282788,192.22,2.0,880.0,175,98,1395.758337728675,7.975761929878144,7.975761929878144,inf,stable,True,100.0,0.12,743.8657599061632,False,False,0,0,0.55415272,18.741301713220324,0.05335808661009864,PHASE_LOCK
78,Pt,ELEM_Pt_078,0.621423,6.092105164854323,8,39.1069,0,0,0,0.24149432057282788,195.08,1.0,870.0,177,99,1407.0091331869073,7.949204142298911,7.949204142298911,inf,stable,True,100.0,0.11864406779661017,760.5547910354356,False,False,0,0,0.5476948474576271,18.05482144900402,0.05538686731544301,PHASE_LOCK
79,Au,ELEM_Au_079,0.574676,7.401105164854323,12,43.4556,2,0,0,0.24149432057282788,196.97,1.0,890.1,180,101,1427.030250148769,7.927945834159828,7.927945834159828,inf,stable,True,100.0,0.12222222222222222,775.9500992414352,False,False,0,0,0.5044378222222222,13.976518059926264,0.07154857853095893,UNSTABLE
