Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
107,Bh,ELEM_Bh_107,0.665553,5.025105164854323,8,37.3489,2,0,0,0.19275824583266318,0,0.5697133679999999,33.11139658603017,0.03020108189643393,PHASE_LOCK
108,Hs,ELEM_Hs_108,0.665553,5.025105164854323,8,23.1164,2,0,0,0.24149432057282788,0,0.5682191620553358,33.50873334506253,0.029842966300824045,PHASE_LOCK
109,Mt,ELEM_Mt_109,0.669339,4.940105164854323,12,112.9669,0,0,0,0.24149432057282788,0,0.5722192235294118,34.550164278746315,0.028943422437361737,PHASE_LOCK
110,Ds,ELEM_Ds_110,0.669339,4.940105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.5707541860465116,34.956636799672744,0.028606871013671483,PHASE_LOCK
111,Rg,ELEM_Rg_111,0.665553,5.025105164854323,12,43.4556,2,0,0,0.24149432057282788,0,0.5682798692307691,34.43585244947137,0.029039501823494164,PHASE_LOCK
112,Cn,ELEM_Cn_112,0.661721,5.112105164854324,8,14.8,2,0,0,0.19275824583266318,0,0.5635950722433459,34.04323999366694,0.029374407376795808,PHASE_LOCK
113,Nh,ELEM_Nh_113,0.676768,4.776105164854323,8,23.1164,2,0,0,0.19275824583266318,0,0.5749983759398497,37.69186016352947,0.026530927252234607,PHASE_LOCK
114,Fl,ELEM_Fl_114,0.680406,4.697105164854324,8,37.3489,2,0,0,0.24149432057282788,0,0.5788528656716417,38.82152977208365,0.02575890249227362,PHASE_LOCK
115,Mc,ELEM_Mc_115,0.669339,4.940105164854323,12,64.3066,2,0,0,0.3232142749901492,0,0.5680736900369004,36.71801772368726,0.027234585688292408,PHASE_LOCK
116,Lv,ELEM_Lv_116,0.661721,5.112105164854324,8,54.4316,0,0,0,0.3232142749901492,0,0.5623416556776557,35.33765976528925,0.028298421758598157,PHASE_LOCK
117,Ts,ELEM_Ts_117,0.673079,4.857105164854324,8,37.3489,2,0,0,0.24149432057282788,0,0.5706539347826087,38.24702115659702,0.026145827041160703,PHASE_LOCK
118,Og,ELEM_Og_118,0.68399,4.620105164854324,12,64.3066,2,0,0,0.24149432057282788,0,0.5785721863799282,41.30494938766554,0.02421017371585545,PHASE_LOCK
