ubp_id,Z,symbol,fingerprint,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,bp_K,mp_K,en,phase_STP,crystal,vector
ELEM_Cs_055,55,Cs,c3fc35f5a67decc16a930d9601c79670745fd0a8d58b991b4a57ed0a0c0e6548,0.578968,7.272105164854323,12,45.5026,0,0,0,0.24149432057282788,132.91,1.0,375.7,944.0,301.59,0.79,3.0,3.0,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
ELEM_Ba_056,56,Ba,27b61275140cd2da59cf5d2d79feaad99bb547e7c43fda06eb1b26372252e38b,0.600344,6.657105164854324,8,14.8,2,0,0,0.24149432057282788,137.33,2.0,502.9,2170.0,1000.0,0.89,3.0,3.0,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
ELEM_La_057,57,La,88790daf979ad4e6b3bfdb83f4e733744d9f9e9df0c89e1f7d2988156790b54d,0.604591,6.540105164854324,8,29.8755,2,0,0,0.24149432057282788,138.91,2.0,538.1,3737.0,1193.0,1.1,3.0,1.0,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
ELEM_Ce_058,58,Ce,a181162a7543d34e0330c7b3c6108565b05ebc7c42aa0c19b08dc69540d3bbc0,0.621423,6.092105164854323,12,39.6298,2,0,0,0.19275824583266318,140.12,2.0,534.4,3716.0,1068.0,1.12,3.0,2.0,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
ELEM_Pr_059,59,Pr,c1cbd07509a609eef744946e7103f5372c4f3cdb01d27c23fad1fe78e5ffd8af,0.608824,6.425105164854323,12,64.3066,2,0,0,0.3232142749901492,140.91,2.0,527.0,3793.0,1208.0,1.13,3.0,1.0,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]"
ELEM_Nd_060,60,Nd,aa8bd3509bb439ec224b37fd3e2e1f9c803eeeecd6cf1d78a5f27f0b33dbfd26,0.608824,6.425105164854323,12,64.3066,2,0,0,0.24149432057282788,144.24,2.0,533.1,3347.0,1297.0,1.14,3.0,1.0,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]"
ELEM_Pm_061,61,Pm,9f0da57eb6bdf2bb80f3ab9fca7a53ce14c45deae2bab5346cdd26067262dce5,0.64599,5.480105164854323,12,45.5026,2,0,0,0.24149432057282788,145.0,2.0,540.0,3273.0,1315.0,1.13,3.0,1.0,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
ELEM_Sm_062,62,Sm,b6a16b25824006ad17381f41f6af449f172e59605500bf907a8ed75bd446810b,0.617242,6.201105164854323,12,39.6298,2,0,0,0.24149432057282788,150.36,2.0,544.5,2067.0,1345.0,1.17,3.0,7.0,"[0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
ELEM_Eu_063,63,Eu,d5f7e59482284287bebd6f9ef4e46ec4306a736008f9fe75639b9addd8dcaf50,0.617242,6.201105164854323,12,34.5376,2,0,0,0.24149432057282788,151.96,2.0,547.1,1802.0,1099.0,1.2,3.0,3.0,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
ELEM_Gd_064,64,Gd,45c2bd314a972140e0bcf7997b6ae92cd852105024ba1329f61327a3f6885875,0.63383,5.777105164854324,8,39.1069,2,0,0,0.24149432057282788,157.25,2.0,593.4,3546.0,1585.0,1.2,3.0,1.0,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
